id sepallength sepalwidth petallength petalwidth class
1 0 0 0 0 Iris-setosa
2 0 0 0 1 Iris-setosa
3 0 0 1 0 Iris-setosa
4 0 0 1 1 Iris-setosa
5 0 1 0 0 Iris-setosa
6 0 1 0 1 Iris-setosa
7 0 1 1 0 Iris-setosa
8 0 1 1 1 Iris-setosa
9 1 0 0 0 Iris-virginica
10 1 0 0 1 Iris-virginica
11 1 0 1 0 Iris-virginica
12 1 0 1 1 Iris-virginica
13 1 1 0 0 Iris-virginica
14 1 1 0 1 Iris-virginica
15 1 1 1 0 Iris-virginica
16 1 1 1 1 Iris-virginica
6 0 1 0 1 Iris-setosa
7 0 1 1 0 Iris-setosa
8 0 1 1 1 Iris-setosa
9 1 0 0 0 Iris-virginica
10 1 0 0 1 Iris-virginica
11 1 0 1 0 Iris-virginica
12 1 0 1 1 Iris-virginica
13 1 1 0 0 Iris-virginica
14 1 1 0 1 Iris-virginica
15 1 1 1 0 Iris-virginica
16 1 1 1 1 Iris-virginica
